ANNEE,MOIS,NUM COMMANDE,CANAL,CENTRAL,ENSEIGNE,REFERENCE,DESIGNATION,SECTEUR,MARQUE,FAMILLE,SOUS-FAMILLE,PRODUIT,QUANTITE,PRIX,CA VENTE,PRIX ACHAT,CA ACHAT,MARGE
2023,1,S012300014,RHF,POMONA,EPISAVEURS,31342,CONF.FRAISE 120XQ30G  ST.MAMET 150CFZ,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ROUGE,4,"11,6982","46,7928","7,414","29,656","17,1368"
2023,1,S012200018,GMS,GALEC,GALEC PFE,49915,PECHE POIRE ANANAS SSA 12x4/4 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,156,"24,9018","3884,6808","1,948","303,888","3580,7928"
2023,1,S012300021,RHF,INDEPENDANTS,DGF,34381,CONF EXTRA FRAISE 120XC20G ST MAMET,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ROUGE,12,"18,2035","218,442","9,677","116,124","102,318"
2023,1,S012300021,RHF,INDEPENDANTS,DGF,34432,MARM ORANGE 120XC20G ST MAMET,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,JAUNE,12,"16,5637","198,7644","7,156","85,872","112,8924"
2023,1,S012300021,RHF,INDEPENDANTS,DGF,45034,PAT.A TARTI SS HUIL PALM 120XQ15G STM,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,PATE A TARTINER,PATE A TARTINER,12,"14,6941","176,3292","7,592","91,104","85,2252"
2023,1,S012300021,RHF,INDEPENDANTS,DGF,34434,CONF EXTRA FRAMBOISE 120XC20G ST MAMET,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ROUGE,12,"17,7566","213,0792","15,893","190,716","22,3632"
2023,1,S012300022,RHF,GEDAL,GMD,47698,EDF ILES SL SACCH 120XFS SM,Marque St Mamet Gros Condition,ST MAMET,FEM PRÊTS A CONSOMMER,ENVIE DE FRUITS,MELANGE DE FRUITS,90,"61,5949","5543,541","34,869","3138,21","2405,331"
2023,1,S012300022,RHF,GEDAL,GMD,47703,EDF VERGER SL SACCH 120XFS SM,Marque St Mamet Gros Condition,ST MAMET,FEM PRÊTS A CONSOMMER,ENVIE DE FRUITS,MELANGE DE FRUITS,45,"58,3808","2627,136","31,539","1419,255","1207,881"
2023,1,S012300159,GMS,GALEC,GALEC PFE,47816,COCKT 4F SL SACCH ARO G1 12X1/2 OF STM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,144,"15,6979","2260,4976","0,942","135,648","2124,8496"
2023,1,S012300022,RHF,GEDAL,GMD,31340,GEL.GROSEI 120XQ30G   ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ROUGE,30,"11,3518","340,554","5,976","179,28","161,274"
2023,1,S012300022,RHF,GEDAL,GMD,31342,CONF.FRAISE 120XQ30G  ST.MAMET 150CFZ,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ROUGE,45,"10,7721","484,7445","7,414","333,63","151,1145"
2023,1,S012300022,RHF,GEDAL,GMD,45351,EDF PEC-POIR NAT.120XFS ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,FEM PRÊTS A CONSOMMER,ENVIE DE FRUITS,MELANGE DE FRUITS,18,"52,3509","942,3162","29,752","535,536","406,7802"
2023,1,S012300022,RHF,GEDAL,GMD,51581,POIRES SL 3X5/1  MELODIE FRUITS NEW ETI,Autres marques,MELODIE DE FRUIT,FEM SALADES DE FRUITS,VERGER,POIRE,22,"21,27","467,94","6,74","148,28","319,66"
2023,1,S012300022,RHF,GEDAL,GMD,43990,POIRE SL 3X5/1 ST.MAMET France,Marque St Mamet Gros Condition,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,165,"43,5505","7185,8325","7,768","1281,72","5904,1125"
2023,1,S012300022,RHF,GEDAL,GMD,32377,MIEL     180 X Q20G  ST.MAMET (ILLIG),Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,MIEL,MIEL,1,"37,7467","37,7467","17,654","17,654","20,0927"
2023,1,S012300022,RHF,GEDAL,GMD,47702,EDF POIRE SL SACCH 120XFS SM,Marque St Mamet Gros Condition,ST MAMET,FEM PRÊTS A CONSOMMER,ENVIE DE FRUITS,MELANGE DE FRUITS,45,"52,3509","2355,7905","30,371","1366,695","989,0955"
2023,1,S012300022,RHF,GEDAL,GMD,45824,SEG. MANDARINE SL 6XA10 ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,FEM MONOFRUITS,AGRUMES,MANDARINE,25,"65,5197","1637,9925","5,101","127,525","1510,4675"
2023,1,S012300022,RHF,GEDAL,GMD,43269,SPEC.  POM-VAN ALL 120XFS ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,COMPOTES,POTS PLASTIQUE,POMME VANILLE,30,"36,7464","1102,392","16,846","505,38","597,012"
2023,1,S012300022,RHF,GEDAL,GMD,48577,FRAICHEUR DES ILES  ARO 3X3/1 ST MA,Marque St Mamet Gros Condition,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,22,"33,487","736,714","5,972","131,384","605,33"
2023,1,S012300024,GMS,GALEC,GALEC PFE,52158,PECHE SL SAC 12X1/2  STMA DPNG MED,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,144,"12,2444","1763,1936","0,732","105,408","1657,7856"
2023,1,S012300024,GMS,GALEC,GALEC PFE,49064,GRAND ANANAS MX JUS 12X3/4OF ST.MAM.G1,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,44,"15,7324","692,2256","1,229","54,076","638,1496"
2023,1,S012300024,GMS,GALEC,GALEC PFE,43986,MON ANANAS MANDARINE 6X4XC120G ST MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM PRÊTS A CONSOMMER,CUPS,MELANGE DE FRUITS,34,"12,0809","410,7506","1,738","59,092","351,6586"
2023,1,S012300024,GMS,GALEC,GALEC PFE,49075,GRAND ANANAS 4TR JUS 12X2X1/4 ST MAM G1,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,36,"22,1575","797,67","1,36","48,96","748,71"
